,date,open,high,low,close,volume
0,2024-03-06,193.5000,198.1300,192.9600,196.1600,6945818
1,2024-03-05,192.0000,193.9400,190.5700,191.9500,5653641
2,2024-03-04,187.7600,193.8980,187.6000,193.0600,7938266
3,2024-03-01,185.4900,188.3800,185.1800,188.2000,4018354
4,2024-02-29,186.1500,186.8495,184.6900,185.0300,6458487
5,2024-02-28,184.6300,185.3700,183.5500,185.3000,3216345
6,2024-02-27,184.1600,185.1300,182.6200,184.8700,3641378
7,2024-02-26,185.6000,186.1250,184.0600,184.1300,4620815
8,2024-02-23,184.9000,186.4550,184.5700,185.7200,3433800
9,2024-02-22,182.4500,184.5500,181.9300,184.2100,5078398
10,2024-02-21,182.5600,183.0300,178.7500,179.7000,4728473
11,2024-02-20,187.6400,188.7700,183.0600,183.4400,4247181
12,2024-02-16,186.6300,188.9500,185.9452,187.6400,4842840
13,2024-02-15,183.6200,186.9800,183.6200,186.8700,4714301
14,2024-02-14,185.0000,185.0000,182.2600,183.5700,3173391
15,2024-02-13,184.2800,184.7700,182.3600,183.7000,4290453
16,2024-02-12,185.9000,186.4800,184.0300,186.1600,4724021
17,2024-02-09,184.4400,187.1800,183.8500,186.3400,5064641
18,2024-02-08,182.6300,184.5500,181.4900,184.3600,5161185
19,2024-02-07,183.3400,184.0200,182.6250,183.7400,4841188
20,2024-02-06,183.5500,184.6800,183.0400,183.4100,3338196
21,2024-02-05,185.5100,185.7800,183.2550,183.4200,4379602
22,2024-02-02,187.1000,187.3900,185.6150,185.7900,4055411
23,2024-02-01,183.6300,187.5100,182.7100,186.9000,4669444
24,2024-01-31,187.0500,187.6500,183.1400,183.6600,8876055
25,2024-01-30,187.7100,188.6500,186.7700,187.8700,4575058
26,2024-01-29,187.4600,189.4600,186.0500,187.1400,6107908
27,2024-01-26,191.3100,192.3896,186.1600,187.4200,9895941
28,2024-01-25,184.9600,196.9000,184.8300,190.4300,29596239
29,2024-01-24,174.7600,174.8600,172.9000,173.9300,7831157
30,2024-01-23,172.9000,174.0200,172.4800,173.9400,3983461
31,2024-01-22,172.8200,174.4500,172.4000,172.8300,4925964
32,2024-01-19,170.5900,171.5791,169.1800,171.4800,6929079
33,2024-01-18,166.4900,166.9900,165.0400,166.8400,3776990
34,2024-01-17,166.7900,167.8200,165.4950,166.0800,4288604
35,2024-01-16,165.8000,167.2500,165.3400,166.9600,4869635
36,2024-01-12,162.9700,165.9800,162.3550,165.8000,4958261
37,2024-01-11,161.0200,162.2300,160.2900,162.1600,3778395
38,2024-01-10,160.2800,161.3400,159.7400,161.2300,2967852
39,2024-01-09,160.0000,160.4837,159.5100,160.0800,2617186
40,2024-01-08,158.6900,161.2160,157.8850,161.1400,3321698
41,2024-01-05,159.9100,160.5500,158.6700,159.1600,3698961
42,2024-01-04,160.2200,161.8100,160.1700,160.8600,3212004
43,2024-01-03,161.0000,161.7300,160.0800,160.1000,4086065
44,2024-01-02,162.8300,163.2900,160.4600,161.5000,3825044
45,2023-12-29,163.7500,164.1800,162.8300,163.5500,2526169
46,2023-12-28,163.9600,163.9600,163.4000,163.7500,2071313
47,2023-12-27,163.1400,163.6400,162.6800,163.4600,3006612
48,2023-12-26,162.2300,163.3100,162.0500,163.2100,1772443
49,2023-12-22,161.1000,162.4100,161.0000,162.1400,2442715
50,2023-12-21,160.5900,161.0800,159.5300,160.7800,2982924
51,2023-12-20,161.2900,161.8000,160.0100,160.0500,4865797
52,2023-12-19,161.8000,162.2800,161.3200,161.5600,3717429
53,2023-12-18,162.2300,163.3300,161.5766,162.7400,3677533
54,2023-12-15,162.3000,164.0900,162.0400,162.2300,11016108
55,2023-12-14,162.9300,163.4990,160.1490,162.9100,6129804
56,2023-12-13,164.3700,164.9653,162.7350,163.6200,4989141
57,2023-12-12,163.2700,166.3400,162.9200,164.7100,5292290
58,2023-12-11,162.6800,163.6500,161.9500,163.5100,6077207
59,2023-12-08,160.0000,162.0400,160.0000,161.9600,4561342
60,2023-12-07,161.0000,161.4650,159.9700,160.2200,3665498
61,2023-12-06,161.5900,162.3550,160.0100,160.2800,3356432
62,2023-12-05,160.7600,162.4700,160.7200,161.3900,4556668
63,2023-12-04,160.2900,162.7900,160.2900,161.1000,5779017
64,2023-12-01,158.4100,160.5900,158.0000,160.5500,4871860
65,2023-11-30,156.9500,158.6000,156.8900,158.5600,6740622
66,2023-11-29,156.1500,157.5100,156.0200,156.4100,3568887
67,2023-11-28,155.4400,155.7450,154.8600,155.6500,2666182
68,2023-11-27,154.9900,156.1350,154.7500,155.5700,4053093
69,2023-11-24,155.1300,155.4000,153.9200,155.1800,1799161
70,2023-11-22,154.5000,155.7050,154.1600,155.1300,3045091
71,2023-11-21,154.6000,154.6600,153.5100,153.9100,2859508
72,2023-11-20,152.5100,154.6800,152.3500,154.3500,3658936
73,2023-11-17,153.2900,153.5000,152.4601,152.8900,4426676
74,2023-11-16,153.0000,153.3500,152.1300,153.0600,3519172
75,2023-11-15,150.4000,153.2200,150.4000,152.5800,4632519
76,2023-11-14,149.4500,150.8063,149.0500,150.4100,4321940
77,2023-11-13,148.4600,148.4900,147.3500,148.1000,2647288
78,2023-11-10,147.4400,149.1700,146.8500,149.0200,3179541
79,2023-11-09,146.5500,146.9900,145.2800,146.6200,3412713
80,2023-11-08,149.2500,149.6800,147.5850,148.0300,3618588
81,2023-11-07,149.0300,149.2800,148.0300,148.8300,3549853
82,2023-11-06,147.8900,149.2250,147.8500,148.9700,4597249
83,2023-11-03,147.4500,148.4450,147.2800,147.9000,3510495
84,2023-11-02,145.7700,147.1000,144.8400,147.0100,3902657
85,2023-11-01,145.0000,146.5100,144.4500,145.4000,4750081
86,2023-10-31,143.0000,144.7600,142.5900,144.6400,6592041
87,2023-10-30,143.1900,144.5000,142.5800,142.6300,4204190
88,2023-10-27,143.6200,144.7000,141.7100,142.5200,5469227
89,2023-10-26,142.2000,144.4100,141.5800,143.7600,11130170
90,2023-10-25,137.5000,138.4900,136.3300,137.0800,6472549
91,2023-10-24,136.7400,137.9800,136.0500,137.7900,3697975
92,2023-10-23,136.6300,137.6800,135.8700,136.3800,3457527
93,2023-10-20,138.1500,139.2700,137.1200,137.1600,4865615
94,2023-10-19,138.6400,139.4050,137.9300,138.0100,5314159
95,2023-10-18,140.0000,140.4300,139.5800,139.9700,3329985
96,2023-10-17,137.1200,140.6200,136.3100,140.3200,4172822
97,2023-10-16,139.2800,139.7800,138.5200,139.2100,3361468
98,2023-10-13,139.7700,140.1200,138.2700,138.4600,4583553
99,2023-10-12,142.5100,142.9300,140.9500,141.2400,3921142
