Open,High,Low,Volume,Dividends,Stock Splits,SMA 20,RSI,bandwidth_bbands,percentB_bbands,MACD_12_26_9,Close
43.968386487432,45.869958387219135,41.90956183304656,50814567,0.0,0.0,41.22476787567139,58.55230811056141,8.690860183062318,0.5737400206834751,0.6821301869633132,42.325679779052734
42.482918306940896,42.86516749771199,41.03133687252667,32122584,0.0,0.0,41.34270820617676,60.055646705482,7.418216424286182,0.566230270021067,0.7067661492383763,42.55549621582031
42.55549621582031,42.55549621582031,42.55549621582031,0,0.0,0.0,41.40657730102539,60.055646705482005,2.4999366608430575,0.3780249940367873,0.7180135139924815,42.55549621582031
42.66679930154738,42.82163666121931,41.62408244658051,29480526,0.0,0.0,41.43875389099121,56.29174560668355,2.5771996957674648,0.19493064499938545,0.6895023828115896,42.1901969909668
42.28938702116062,42.52647713915499,41.67488170251313,18091089,0.0,0.0,41.464398574829104,54.56014324217412,1.9746869119240293,0.12836901239022877,0.6456044150199816,42.01842498779297
41.999059290048756,42.178087024503334,40.88618023301293,21064653,0.0,0.0,41.47552719116211,46.17863920072248,5.160409921015287,0.038524773340636004,0.5287789935427298,41.07730484008789
41.273292222154225,41.41845144868374,40.6031463846331,18930654,0.0,0.0,41.48641471862793,44.38557996508987,6.32946522233513,0.16299681179224465,0.41289080697047353,40.847496032714844
40.83779954034788,41.77890707314993,40.64425620675854,22366368,0.0,0.0,41.50540618896484,50.54633629591975,4.995293232279017,0.49953077052565015,0.3720052902573556,41.53213882446289
41.75229290909891,41.9337393616223,41.2877875985081,15414111,0.0,0.0,41.53806648254395,52.29588301408341,4.133766881144404,0.6745400795161635,0.35252320350102195,41.74261474609375
41.708762637585636,42.526486335690485,41.491025479571796,18622962,0.0,0.0,41.586815643310544,51.30743480356618,3.334579469207278,0.6950361627519571,0.3247519551366267,41.63618469238281
40.64424932022547,41.1281075722166,39.29911773160396,31425363,0.0,0.0,41.57810535430908,43.00889631949913,4.3714665875451555,0.13986286367614925,0.2188130812783058,40.62731170654297
40.74102424330419,40.97811430746447,40.49909343667278,27748665,0.0,0.0,41.578589630126956,43.19875195955544,4.795994426946281,0.20151895968795,0.13486329736175406,40.646671295166016
40.88618662914613,41.128117474592955,40.450712436303604,34819803,0.0,0.0,41.591412734985354,46.07572156650913,4.676086236856476,0.4048742455308764,0.09052037864487517,40.934574127197266
41.03133556058742,41.03133556058742,40.450702340906204,20219724,0.0,0.0,41.6101619720459,43.6734698031118,3.7805865711405193,0.33601537904791273,0.03158736218910008,40.644248962402344
40.402335811627076,40.639425958136954,39.26526261895702,28542663,0.0,0.0,41.51097030639649,36.47228130987564,4.452281448125542,0.016404519138077167,-0.09638670331424493,39.623321533203125
39.918474223955556,41.03135366847719,39.77331834677799,23875137,0.0,0.0,41.479157257080075,46.263250673267294,4.479776395989175,0.5920041911034464,-0.11198699373437648,40.67087936401367
40.88618460398425,41.273274602006836,40.600707017874235,14883516,0.0,0.0,41.477705574035646,49.459707326136524,5.011767392701562,0.7366709409842837,-0.09109031928017686,41.07005310058594
41.36521126584305,41.94584131317663,41.36521126584305,18044757,0.0,0.0,41.520527839660645,54.23896241585136,6.703964102282521,0.8569270666091299,-0.02176494528157491,41.720848083496094
41.85390932441715,41.85390932441715,40.88618595850309,10034154,0.0,0.0,41.42702236175537,49.61803700785685,6.812609473531226,0.6019035138554266,-0.014678512798262489,41.12569808959961
40.6442527330151,41.31197950251264,39.91846031048011,17288559,0.0,0.0,41.32226676940918,47.9546492908141,3.401925765807911,0.3591391651775815,-0.026908088589742363,40.90069580078125
39.91846297920062,40.59586795655915,39.77330714291246,29837133,0.0,0.0,41.204204368591306,41.69144034147231,5.547273102357801,0.06341068480905411,-0.11087074971426603,39.96443176269531
39.93056278152029,40.74103010359394,39.87008173236464,25094700,0.0,0.0,41.101989364624025,46.11734183497442,5.770240877147004,0.3585482214699781,-0.13177344585262318,40.51119613647461
38.70880487363421,40.99020632920156,37.31045175449156,30867849,0.0,0.0,40.972072792053225,42.5896372992705,4.703159367325516,0.2192429265741247,-0.19084474520477812,39.9571647644043
39.91846117045791,39.91846117045791,33.918594955892445,59643468,0.0,0.0,40.60687885284424,24.281738350868988,22.501275350188195,0.006517578488285823,-0.6394627849606351,34.88631820678711
33.87022081419956,33.87022081419956,24.676873788206198,37404351,0.0,0.0,40.022980499267575,17.160160698143525,42.70856260994813,0.07174682350360241,-1.3462895596836688,30.340457916259766
29.999336180850896,32.66056922386424,29.080003485515224,40634253,0.0,0.0,39.51771011352539,20.641835453283647,48.65039497386339,0.24627400824547005,-1.8343576706766527,30.97189712524414
31.929936857342312,34.35407626635997,31.838005920122395,32020506,0.0,0.0,39.17610416412354,34.854001530356,40.31401993170357,0.4986249868103962,-1.9530581324892538,34.015377044677734
33.82182388596974,36.04758208605318,31.45090985364019,31110426,0.0,0.0,38.74135570526123,32.43249830857077,21.27556980744687,0.53270757584863,-2.1177880515702086,32.8371696472168
31.596066793865585,34.450842260014696,31.20897684939591,30751938,0.0,0.0,38.36067867279053,37.555450187204976,19.13423715346035,0.7689338413388236,-2.11965771241357,34.12907409667969
34.59600484956596,34.80406378350551,33.9210218388815,17348040,0.0,0.0,37.99536361694336,38.33804720376137,15.103866489166666,0.7136559328039087,-2.080947913202735,34.32988357543945
34.257306501763644,35.92178814329637,33.62828888001931,27256977,0.0,0.0,37.736741065979004,42.67265343279988,9.76670729591872,0.8902050863470079,-1.9371634528988935,35.45486068725586
